hauljoin,species_code,year,stratum,survey,lat_mid,long_mid,numcpue
-22856,21720,2023,43,98,59.832305,-173.584785,1079.4930176463952
-22856,21740,2023,43,98,59.832305,-173.584785,9368.457260288358
-22837,21720,2023,61,98,58.33699,-173.57419,366.43614901404493
-22837,21740,2023,61,98,58.33699,-173.57419,16544.592127984128
-22821,21720,2023,61,98,58.993825,-173.073975,544.604679243404
-22821,21740,2023,61,98,58.993825,-173.073975,15521.233358437015
-22776,21720,2023,43,98,59.99219,-172.606205,948.980638102526
-22776,21740,2023,43,98,59.99219,-172.606205,8562.895060087909
-22738,21720,2023,61,98,57.99253,-172.23273,328.1788738952166
-22738,21740,2023,61,98,57.99253,-172.23273,3261.2775593337146
-22656,21720,2023,42,98,57.15801,-169.8932,728.1889949808563
-22656,21740,2023,42,98,57.15801,-169.8932,525.9142741528406
-22621,21720,2023,42,98,57.98899,-170.96914,857.570016109063
-22621,21740,2023,42,98,57.98899,-170.96914,10563.703380252548
-22804,21720,2023,43,98,59.82732,-172.92419,2983.4857284282116
-22804,21740,2023,43,98,59.82732,-172.92419,11004.025284072884
-22752,21720,2023,61,98,58.678615,-172.36947,761.9320016715616
-22752,21740,2023,61,98,58.678615,-172.36947,21431.779636761617
-22721,21720,2023,61,98,57.351295,-172.80523,211.07879686620905
-22721,21740,2023,61,98,57.351295,-172.80523,3089.4260268599687
-22640,21720,2023,42,98,56.842855,-170.48061,362.380432814601
-22640,21740,2023,42,98,56.842855,-170.48061,4386.710502492539
-22628,21720,2023,50,98,56.33947,-170.07922,91.1455207326802
-22628,21740,2023,50,98,56.33947,-170.07922,17117.12879359734
-22602,21720,2023,41,98,58.669175,-170.43077,368.71076226156856
-22602,21740,2023,41,98,58.669175,-170.43077,2230.70011168249
-22574,21720,2023,41,98,59.66762,-170.585795,488.1713821018046
-22574,21740,2023,41,98,59.66762,-170.585795,13912.884389901432
-22862,21720,2023,61,98,58.66751,-176.829615,214.27713763456896
-22862,21740,2023,61,98,58.66751,-176.829615,8473.686806457954
-22850,21720,2023,43,98,60.17071,-174.35513,1428.940117803411
-22850,21740,2023,43,98,60.17071,-174.35513,8494.255144720277
-22828,21720,2023,43,98,60.008645,-173.287665,5734.781824526573
-22828,21740,2023,43,98,60.008645,-173.287665,10806.479500592259
-22820,21720,2023,43,98,59.323085,-173.155155,916.1762833110245
-22820,21740,2023,43,98,59.323085,-173.155155,4905.360516894443
-22762,21720,2023,41,98,59.99128,-171.30483,81.01484542357366
-22762,21740,2023,41,98,59.99128,-171.30483,2288.669383215956
-22737,21720,2023,61,98,57.667695,-172.167555,362.62248581743165
-22737,21740,2023,61,98,57.667695,-172.167555,5600.502836513667
-22655,21720,2023,42,98,56.99495,-170.17299,1126.1179638460442
-22655,21740,2023,42,98,56.99495,-170.17299,9950.787825985046
-22609,21720,2023,42,98,57.17598,-169.33174,132.17951443364421
-22609,21740,2023,42,98,57.17598,-169.33174,2114.8722309383074
-22775,21720,2023,43,98,60.165325,-172.33922,1269.2735217802576
-22775,21740,2023,43,98,60.165325,-172.33922,8046.287504142705
-22751,21720,2023,61,98,58.331745,-172.29598,622.7039131044711
-22751,21740,2023,61,98,58.331745,-172.29598,7530.8254491071975
-22720,21720,2023,61,98,57.3256,-173.313555,325.53074125140205
-22720,21740,2023,61,98,57.3256,-173.313555,2278.7151887598143
-22627,21720,2023,50,98,56.435425,-169.50108,130.72367055334283
-22627,21740,2023,50,98,56.435425,-169.50108,8279.165801711713
-22586,21720,2023,42,98,57.834575,-169.368635,1291.300045062206
-22586,21740,2023,42,98,57.834575,-169.368635,46632.59356281096
-22573,21720,2023,41,98,60.00147,-170.62866,0
-22573,21740,2023,41,98,60.00147,-170.62866,2869.4141115490474
-22861,21720,2023,62,98,59.85894,-174.26372,1265.889335750093
-22861,21740,2023,62,98,59.85894,-174.26372,18457.483218033616
-22849,21720,2023,43,98,60.34264,-174.07871,637.3285633964106
-22849,21740,2023,43,98,60.34264,-174.07871,9729.882734518535
-22827,21720,2023,43,98,60.1757,-173.01935,57.95793335919545
-22827,21740,2023,43,98,60.1757,-173.01935,6124.221624954986
-22810,21720,2023,41,98,60.67283,-172.76211,11217.563887228405
-22810,21740,2023,41,98,60.67283,-172.76211,3677.2124713198086
-22803,21720,2023,43,98,59.670945,-172.567725,1228.6702838719823
-22803,21740,2023,43,98,59.670945,-172.567725,5850.810875580869
-22761,21720,2023,41,98,59.33304,-171.18505,428.41799372710375
-22761,21740,2023,41,98,59.33304,-171.18505,9445.59671884043
-22736,21720,2023,41,98,57.65864,-171.53605,225.3062321342399
-22736,21740,2023,41,98,57.65864,-171.53605,79615.02948234459
-22639,21720,2023,61,98,56.67343,-170.72847,130.12151304551818
-22639,21740,2023,61,98,56.67343,-170.72847,8346.365622491094
-22608,21720,2023,42,98,57.3367,-169.59332,579.3391709812286
-22608,21740,2023,42,98,57.3367,-169.59332,34700.41862049635
-22774,21720,2023,43,98,60.344045,-172.06358,1039.1088797843934
-22774,21740,2023,43,98,60.344045,-172.06358,3830.440576460117
-22750,21720,2023,61,98,58.333565,-172.91555,806.0623952748622
-22750,21740,2023,61,98,58.333565,-172.91555,15375.640189867998
-22719,21720,2023,61,98,57.0096,-173.25863,300.12257005761154
-22719,21740,2023,61,98,57.0096,-173.25863,6662.721055278976
-22654,21720,2023,42,98,57.11324,-170.46105,2085.9008085899673
-22654,21740,2023,42,98,57.11324,-170.46105,5035.659527808102
-22626,21720,2023,32,98,56.6622,-169.506665,1779.1222670643401
-22626,21740,2023,32,98,56.6622,-169.506665,10600.603507925027
-22585,21720,2023,42,98,57.998895,-169.7099,597.1879285338205
-22585,21740,2023,42,98,57.998895,-169.7099,4633.354617934814
-22567,21720,2023,41,98,59.00466,-169.838025,505.70434501173236
-22567,21740,2023,41,98,59.00466,-169.838025,21502.54874989886
-22860,21720,2023,61,98,58.67075,-176.2014,151.40276936861562
-22860,21740,2023,61,98,58.67075,-176.2014,79600.00599554967
-22847,21720,2023,43,98,60.137005,-173.765745,2875.1328639418434
-22847,21740,2023,43,98,60.137005,-173.765745,15147.512068418437
-22826,21720,2023,43,98,60.30686,-173.371115,511.01074860008606
-22826,21740,2023,43,98,60.30686,-173.371115,18642.42916189203
-22790,21720,2023,43,98,59.33728,-172.505635,767.6888137567959
-22790,21740,2023,43,98,59.33728,-172.505635,38000.5962809614
-22757,21720,2023,41,98,58.995845,-171.779345,788.0918751849995
-22757,21740,2023,41,98,58.995845,-171.779345,11093.9087045273
-22735,21720,2023,41,98,57.3391,-171.480045,311.05847725179586
-22735,21740,2023,41,98,57.3391,-171.480045,10119.769126591758
-22633,21720,2023,42,98,57.510445,-170.58452,753.4182586394471
-22633,21740,2023,42,98,57.510445,-170.58452,89432.78356606627
-22607,21720,2023,42,98,57.49803,-169.376485,81.59357473445166
-22607,21740,2023,42,98,57.49803,-169.376485,1183.1068336495493
-22809,21720,2023,41,98,61.002105,-172.82045,273.8511971620253
-22809,21740,2023,41,98,61.002105,-172.82045,2562.464773444665
-22773,21720,2023,41,98,60.66061,-172.109175,296.7989168343317
-22773,21740,2023,41,98,60.66061,-172.109175,2611.8304681421187
-22745,21720,2023,61,98,57.999055,-172.857835,435.8425502146089
-22745,21740,2023,61,98,57.999055,-172.857835,2397.134026180349
-22649,21720,2023,42,98,56.98898,-170.797245,190.20418400132124
-22649,21740,2023,42,98,56.98898,-170.797245,13960.987105696979
-22625,21720,2023,32,98,56.82716,-169.29922,344.8504837505111
-22625,21740,2023,32,98,56.82716,-169.29922,9502.546663347417
-22859,21720,2023,61,98,58.670665,-175.56231,308.64718492065595
-22859,21740,2023,61,98,58.670665,-175.56231,54244.742749805286
-22846,21720,2023,43,98,60.010425,-173.943755,1674.8920746288284
-22846,21740,2023,43,98,60.010425,-173.943755,12289.033710358031
-22789,21720,2023,43,98,59.330585,-171.8506,269.20865907581083
-22789,21740,2023,43,98,59.330585,-171.8506,5301.339747954428
-22756,21720,2023,41,98,58.678085,-171.721375,1238.2723623999796
-22756,21740,2023,41,98,58.678085,-171.721375,29179.289055909194
-22710,21720,2023,61,98,57.00176,-172.65728,165.87739437798382
-22710,21740,2023,61,98,57.00176,-172.65728,2363.7528698862693
-22632,21720,2023,42,98,57.329005,-170.239005,663.2857846626232
-22632,21740,2023,42,98,57.329005,-170.239005,937.7488679712949
-22606,21720,2023,42,98,57.65951,-169.65312,409.1367184555334
-22606,21740,2023,42,98,57.65951,-169.65312,2638.9318340381906
-22584,21720,2023,41,98,58.333705,-169.739715,792.4423191141445
-22584,21740,2023,41,98,58.333705,-169.739715,14779.049251478797
-22566,21720,2023,41,98,59.328185,-169.87745,958.32448081094185
-22566,21740,2023,41,98,59.328185,-169.87745,51136.19429607186
-22825,21720,2023,41,98,60.67037,-173.478895,59.8127502042107
-22825,21740,2023,41,98,60.67037,-173.478895,7257.280358110898
-22808,21720,2023,41,98,61.001325,-172.14154,79.71875065332007
-22808,21740,2023,41,98,61.001325,-172.14154,5181.718792465805
-22772,21720,2023,41,98,60.65291,-171.431235,19.63550610026086
-22772,21740,2023,41,98,60.65291,-171.431235,1924.279597825564
-22744,21720,2023,61,98,58.001515,-173.454465,277.20936657184524
-22744,21740,2023,61,98,58.001515,-173.454465,5583.788669518596
-22729,21720,2023,61,98,56.996945,-172.02157,372.989794812719
-22729,21740,2023,61,98,56.996945,-172.02157,28264.337784697153
-22648,21720,2023,42,98,57.33919,-170.86423,964.5418966134548
-22648,21740,2023,42,98,57.33919,-170.86423,32524.352753805695
-22624,21720,2023,42,98,57.833245,-169.97107,353.4947394472411
-22624,21740,2023,42,98,57.833245,-169.97107,4928.132544058597
-22489,21720,2023,50,98,56.666975,-168.279115,39.04429331049242
-22489,21740,2023,50,98,56.666975,-168.279115,663.7529862783712
-22447,21720,2023,31,98,57.654785,-167.15244,1270.123812823932
-22447,21740,2023,31,98,57.654785,-167.15244,10757.56380861482
-22414,21720,2023,10,98,58.348285,-165.91074,740.2839097659233
-22414,21740,2023,10,98,58.348285,-165.91074,3679.6464926600306
-22366,21720,2023,50,98,55.355085,-166.35685,36.52611514960074
-22366,21740,2023,50,98,55.355085,-166.35685,54.78917272440111
-22318,21720,2023,31,98,55.021345,-164.600875,2494.7555496249556
-22318,21740,2023,31,98,55.021345,-164.600875,24411.49232029709
-22551,21720,2023,20,98,59.996915,-169.32667,1017.1414784802361
-22551,21740,2023,20,98,59.996915,-169.32667,3559.995174680826
-22531,21720,2023,20,98,59.659695,-167.282185,392.3385693531004
-22531,21740,2023,20,98,59.659695,-167.282185,2484.8109392363026
-22513,21720,2023,50,98,56.33221,-168.88589,377.2696392575508
-22513,21740,2023,50,98,56.33221,-168.88589,60879.405998086884
-22496,21720,2023,42,98,57.670815,-168.39597,1330.5196446340028
-22496,21740,2023,42,98,57.670815,-168.39597,6444.704528695951
-22466,21720,2023,50,98,56.00641,-167.607745,148.74334187615926
-22466,21740,2023,50,98,56.00641,-167.607745,49.581113958719754
-22427,21720,2023,20,98,58.336965,-167.20862,206.93356571696853
-22427,21740,2023,20,98,58.336965,-167.20862,15995.964629921667
-22374,21720,2023,10,98,58.001315,-165.246835,505.0624088783237
-22374,21740,2023,10,98,58.001315,-165.246835,2567.4005784648125
-22342,21720,2023,31,98,56.008555,-165.78839,96.34159183092667
-22342,21740,2023,31,98,56.008555,-165.78839,443.1713224222627
-22538,21720,2023,42,98,57.6647,-169.040335,656.8614346989468
-22538,21740,2023,42,98,57.6647,-169.040335,6187.210933293306
-22488,21720,2023,31,98,56.671555,-167.68757,39.61996215342735
-22488,21740,2023,31,98,56.671555,-167.68757,752.7792809151197
-22446,21720,2023,31,98,57.66771,-167.777975,1633.825719849833
-22446,21740,2023,31,98,57.66771,-167.777975,3956.6140926483904
-22396,21720,2023,20,98,59.666035,-166.614235,467.43411983515045
-22396,21740,2023,20,98,59.666035,-166.614235,1019.8562614585101
-22365,21720,2023,50,98,55.027015,-166.364765,0
-22365,21740,2023,50,98,55.027015,-166.364765,0
-22314,21720,2023,31,98,55.35432,-164.543755,197.71132533177146
-22314,21740,2023,31,98,55.35432,-164.543755,39265.469210889816
-22289,21720,2023,31,98,55.337865,-163.42151,189.14119390124728
-22289,21740,2023,31,98,55.337865,-163.42151,546.4078934924921
-22550,21720,2023,20,98,60.33758,-169.31807,97.59679029922259
-22550,21740,2023,20,98,60.33758,-169.31807,5875.326776013199
-22530,21720,2023,20,98,59.66695,-167.950575,150.74659512434258
-22530,21740,2023,20,98,59.66695,-167.950575,1485.9307233685197
-22495,21720,2023,20,98,58.67303,-167.225655,435.5584191541804
-22495,21740,2023,20,98,58.67303,-167.225655,10354.411509892561
-22465,21720,2023,50,98,56.32752,-167.652185,0
-22465,21740,2023,50,98,56.32752,-167.652185,18.26049901999554
-22408,21720,2023,20,98,58.679875,-166.548915,1128.9806995450115
-22408,21740,2023,20,98,58.679875,-166.548915,30413.35762039623
-22372,21720,2023,31,98,56.994395,-165.856255,727.2846422134686
-22372,21740,2023,31,98,56.994395,-165.856255,7387.680839326286
-22341,21720,2023,50,98,55.671155,-165.804025,0
-22341,21740,2023,50,98,55.671155,-165.804025,19.02007725118496
-22537,21720,2023,20,98,60.002745,-168.639425,2535.1410691923656
-22537,21740,2023,20,98,60.002745,-168.639425,3612.576023599121
-22512,21720,2023,50,98,56.34843,-168.25497,238.65955429373597
-22512,21740,2023,50,98,56.34843,-168.25497,3858.329461082065
-22472,21720,2023,50,98,55.676745,-167.594965,0
-22472,21740,2023,50,98,55.676745,-167.594965,72.3235730622318
-22445,21720,2023,41,98,58.000565,-167.808235,1815.242225922627
-22445,21740,2023,41,98,58.000565,-167.808235,8087.912584388594
-22426,21720,2023,41,98,58.338835,-167.83584,2062.9502656554473
-22426,21740,2023,41,98,58.338835,-167.83584,5410.378998605796
-22395,21720,2023,20,98,59.611345,-165.925455,2302.087756992128
-22395,21740,2023,20,98,59.611345,-165.925455,980.5188594596101
-22359,21720,2023,31,98,57.67649,-165.25134,1841.7171826178576
-22359,21740,2023,31,98,57.67649,-165.25134,8228.94911382447
-22313,21720,2023,50,98,55.334605,-165.153655,381.884178347549
-22313,21740,2023,50,98,55.334605,-165.153655,1709.386322127124
-22300,21720,2023,31,98,55.993655,-164.5824,662.8717131116181
-22300,21740,2023,31,98,55.993655,-164.5824,916.3226622425309
-22549,21720,2023,20,98,60.337235,-168.67547,1381.1809400897573
-22549,21740,2023,20,98,60.337235,-168.67547,7912.193671085611
-22494,21720,2023,20,98,59.00401,-167.243725,1131.6087036377737
-22494,21740,2023,20,98,59.00401,-167.243725,12512.980857533075
-22464,21720,2023,50,98,56.345735,-167.05705,0
-22464,21740,2023,50,98,56.345735,-167.05705,38.11256878770798
-22407,21720,2023,20,98,59.002235,-166.569845,606.6146474386
-22407,21740,2023,20,98,59.002235,-166.569845,6716.090739498785
-22371,21720,2023,31,98,56.65613,-165.85723,19.3160201140808
-22371,21740,2023,31,98,56.65613,-165.85723,1197.5932470730097
-22339,21720,2023,50,98,55.338335,-165.78311,19.597734932991916
-22339,21740,2023,50,98,55.338335,-165.78311,78.39093973196766
-22556,21720,2023,20,98,60.32864,-169.9877,0
-22556,21740,2023,20,98,60.32864,-169.9877,4746.076092229484
-22536,21720,2023,20,98,60.008025,-167.97231,144.65702759029023
-22536,21740,2023,20,98,60.008025,-167.97231,10229.318379599094
-22529,21720,2023,20,98,59.32745,-167.92618,1003.2641309975799
-22529,21740,2023,20,98,59.32745,-167.92618,7691.691670981446
-22511,21720,2023,50,98,56.005645,-168.223355,210.26586780928963
-22511,21740,2023,50,98,56.005645,-168.223355,3784.7856205672133
-22471,21720,2023,50,98,55.34011,-167.57123,152.8307376083262
-22471,21740,2023,50,98,55.34011,-167.57123,210.14226421144852
-22425,21720,2023,20,98,58.6668,-167.86672,225.766556477536
-22425,21740,2023,20,98,58.6668,-167.86672,7573.44175820098
-22394,21720,2023,20,98,59.33154,-165.948895,655.1002726062425
-22394,21740,2023,20,98,59.33154,-165.948895,3761.5435007713277
-22358,21720,2023,31,98,57.3273,-165.23679,868.9379654274237
-22358,21740,2023,31,98,57.3273,-165.23679,18288.112993298102
-22312,21720,2023,31,98,55.651525,-165.171495,348.59650206649945
-22312,21740,2023,31,98,55.651525,-165.171495,445.4288637516382
-22548,21720,2023,20,98,60.330975,-167.96873,220.8861643673789
-22548,21740,2023,20,98,60.330975,-167.96873,823.3029762784123
-22493,21720,2023,20,98,59.345245,-167.24722,521.2384695535054
-22493,21740,2023,20,98,59.345245,-167.24722,847.0125130244462
-22458,21720,2023,31,98,56.99742,-167.09841,1210.4175210023093
-22458,21740,2023,31,98,56.99742,-167.09841,1586.0643378650948
-22444,21720,2023,31,98,58.006285,-167.191,1822.6339437836295
-22444,21740,2023,31,98,58.006285,-167.191,19058.411455650563
-22406,21720,2023,20,98,58.98818,-165.94732,767.432494324216
-22406,21740,2023,20,98,58.98818,-165.94732,3137.444609149001
-22370,21720,2023,31,98,56.340285,-165.818315,54.60335793178206
-22370,21740,2023,31,98,56.340285,-165.818315,364.0223862118804
-22338,21720,2023,50,98,54.832875,-165.517775,584.9688697325512
-22338,21740,2023,50,98,54.832875,-165.517775,14645.11348866137
-22555,21720,2023,20,98,59.665075,-168.61108,533.5784777834143
-22555,21740,2023,20,98,59.665075,-168.61108,7640.843801858492
-22528,21720,2023,20,98,59.33388,-168.550715,701.4275453402765
-22528,21740,2023,20,98,59.33388,-168.550715,4948.961014345285
-22510,21720,2023,50,98,55.676515,-168.21141,1044.702078691943
-22510,21740,2023,50,98,55.676515,-168.21141,361.6276426241341
-22470,21720,2023,50,98,55.33427,-166.981595,38.78638939052619
-22470,21740,2023,50,98,55.33427,-166.981595,116.35916817157857
-22424,21720,2023,20,98,59.00352,-167.896795,320.5414843186298
-22424,21740,2023,20,98,59.00352,-167.896795,8915.060032611891
-22393,21720,2023,20,98,59.337195,-165.296845,690.6756371618421
-22393,21740,2023,20,98,59.337195,-165.296845,1134.6814039087405
-22357,21720,2023,31,98,56.99937,-165.222725,1503.5595020491044
-22357,21740,2023,31,98,56.99937,-165.222725,4490.081800639791
-22311,21720,2023,31,98,55.659995,-164.623115,735.3019145791252
-22311,21740,2023,31,98,55.659995,-164.623115,1180.3530734033325
-22535,21720,2023,42,98,57.49336,-168.74592,365.0201957562752
-22535,21740,2023,42,98,57.49336,-168.74592,3346.018461099189
-22492,21720,2023,20,98,59.346275,-166.58836,597.4304516275499
-22492,21740,2023,20,98,59.346275,-166.58836,4630.0860001135115
-22443,21720,2023,31,98,56.659925,-167.072345,179.44127012837586
-22443,21740,2023,31,98,56.659925,-167.072345,1854.2264579932173
-22405,21720,2023,10,98,58.668515,-165.93016,167.50041042834943
-22405,21740,2023,10,98,58.668515,-165.93016,1172.502872998446
-22369,21720,2023,31,98,56.33833,-166.404165,38.152132007902836
-22369,21740,2023,31,98,56.33833,-166.404165,95.38033001975708
-22337,21720,2023,31,98,54.672745,-165.13774,11960.763837450184
-22337,21740,2023,31,98,54.672745,-165.13774,202321.07628255413
-22554,21720,2023,20,98,59.674255,-169.26628,1015.5517945836073
-22554,21740,2023,20,98,59.674255,-169.26628,25673.149367073594
-22547,21720,2023,20,98,60.33446,-167.272085,345.6658082632428
-22547,21740,2023,20,98,60.33446,-167.272085,1280.9968188578998
-22527,21720,2023,20,98,58.996185,-168.533685,1340.5818801838238
-22527,21740,2023,20,98,58.996185,-168.533685,5919.184609427038
-22499,21720,2023,41,98,58.33246,-168.473125,3533.5130852225157
-22499,21740,2023,41,98,58.33246,-168.473125,11140.958903995697
-22469,21720,2023,50,98,55.008575,-166.957175,93.14665303397092
-22469,21740,2023,50,98,55.008575,-166.957175,223.5519672815302
-22457,21720,2023,31,98,56.99165,-167.698365,1325.0454836694869
-22457,21740,2023,31,98,56.99165,-167.698365,3777.3684683712236
-22423,21720,2023,31,98,57.66462,-166.51181,1270.269544946905
-22423,21740,2023,31,98,57.66462,-166.51181,8145.855494580153
-22377,21720,2023,10,98,59.00384,-165.30189,629.2407299279259
-22377,21740,2023,10,98,59.00384,-165.30189,2907.526131391106
-22356,21720,2023,31,98,56.670125,-165.20474,4228.518341826305
-22356,21740,2023,31,98,56.670125,-165.20474,3495.8542726979854
-22534,21720,2023,42,98,57.336305,-168.980385,4658.449082852906
-22534,21740,2023,42,98,57.336305,-168.980385,2508.3956599977187
-22491,21720,2023,32,98,57.33481,-168.36853,248.22332602998253
-22491,21740,2023,32,98,57.33481,-168.36853,11666.49632340918
-22442,21720,2023,31,98,56.659565,-166.439605,99.59387609207175
-22442,21740,2023,31,98,56.659565,-166.439605,976.0199857023032
-22400,21720,2023,10,98,58.00801,-165.93779,992.5532321081088
-22400,21740,2023,10,98,58.00801,-165.93779,5596.310776779762
-22368,21720,2023,50,98,56.00954,-166.414705,0
-22368,21740,2023,50,98,56.00954,-166.414705,107.41340465583403
-22303,21720,2023,31,98,55.333855,-164.04745,1841.9545298788664
-22303,21740,2023,31,98,55.333855,-164.04745,3868.104512745619
-22541,21720,2023,41,98,58.65252,-169.15157,270.43094175025686
-22541,21740,2023,41,98,58.65252,-169.15157,24821.69715350572
-22526,21720,2023,20,98,58.671705,-168.49781,528.7965302812282
-22526,21740,2023,20,98,58.671705,-168.49781,9782.735810202723
-22498,21720,2023,42,98,58.004325,-168.42941,2317.94196972184
-22498,21740,2023,42,98,58.004325,-168.42941,4056.39844701322
-22456,21720,2023,31,98,57.326155,-167.74526,992.8819320874989
-22456,21740,2023,31,98,57.326155,-167.74526,11096.915711566164
-22422,21720,2023,31,98,57.99548,-166.533035,1201.4647537398744
-22422,21740,2023,31,98,57.99548,-166.533035,16860.555377482906
-22376,21720,2023,10,98,58.65731,-165.30858,1402.7938978465443
-22376,21740,2023,10,98,58.65731,-165.30858,3406.785180484465
-22320,21720,2023,50,98,55.008325,-165.781215,340.4379776191156
-22320,21740,2023,50,98,55.008325,-165.781215,3820.4706377256307
